ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
2,"Karhunen, Mikko",16,Kokoomus,2
3,"Keski-Luoma, Miika",14,Kokoomus,2
4,"Kivisaari, Ella",4,Kokoomus,2
5,"Lehtonen, Akseli",46,Kokoomus,2
6,"Leivo, Oliver",60,Kokoomus,2
7,"Nurmela, Jeremias",5,Kokoomus,2
8,"Pesonen, Petri",31,Kokoomus,2
9,"Rintanen, Arttu",14,Kokoomus,2
10,"Salminen, Alisa",18,Kokoomus,2
11,"Sorvanto, Mikael",3,Kokoomus,2
12,"TalviOja, Max",11,Kokoomus,2
13,"Tikerpuu, Cevor",15,Kokoomus,2
14,"Vanninen, Veera",9,Kokoomus,2
15,"Voutilainen, Otto",5,Kokoomus,2
16,"Ahlqvist, Pinja",9,Kokoomus,2
17,"Euro, Alvar",3,Kokoomus,2
18,"Heinonen, Oskari",4,Kokoomus,2
19,"Huttu, Mimosa",4,Kokoomus,2
20,"Kareen, Samuel",2,Kokoomus,2
21,"Kekonen, Aleksanteri",3,Kokoomus,2
22,"Kolehmainen, Saska",9,Kokoomus,2
23,"Leppämäki, Samuli",12,Kokoomus,2
24,"Matikainen, Sami",2,Kokoomus,2
25,"Nieminen, Iiro",7,Kokoomus,2
26,"Nordman, Sina",1,Kokoomus,2
27,"Pulliainen, Joonas",1,Kokoomus,2
28,"Pyykkönen, Mona",2,Kokoomus,2
29,"Sirén, Jaakko",2,Kokoomus,2
30,"Turunen, Siiri",15,Kokoomus,2
31,"Vesto, Carla",10,Kokoomus,2
33,"Vuornos, Henrik",22,Kokoomus,2
34,"Vähäsilta, Vilhelm",8,Kokoomus,2
35,"Väisänen, Leevi",10,Kokoomus,2
36,"Baarman, Nea-Bettina",2,Kokoomus,2
37,"Elo, Esa",1,Kokoomus,2
38,"Junnila, Emilia",7,Kokoomus,2
39,"Kukkonen, Pihla",7,Kokoomus,2
40,"Kujala, Vilma",6,Kokoomus,2
41,"Kähkönen, Paavo",1,Kokoomus,2
42,"Linnakangas, Jaakko",2,Kokoomus,2
43,"Nieminen, Matias",10,Kokoomus,2
44,"Soivio, Miro",1,Kokoomus,2
45,"Tuomela, Leo",8,Kokoomus,2
46,"Tupamäki, Binga",30,Kokoomus,2
47,"Sopanen, Martta",41,Kokoomus,2
48,"Hakkarainen, Lauri",42,Kokoomus,2
49,"Kurvits, Karolin",10,Kokoomus,2
50,"Nyman, Onni",35,Kokoomus,2
51,"Närjä, Georg",12,Kokoomus,2
52,"Uotila, Mats",46,Kokoomus,2
53,"Juuti, Samu",7,Kokoomus,2
54,"Toivonen, Jenni",2,Kokoomus,2
55,"Rantala, Henriina",10,Kokoomus,2
56,"Korpinen, Topi",3,Kokoomus,2
57,"Kouzmitchev, Konstantin",4,Kokoomus,2
58,"Vuorinen, Mikael",35,Kokoomus,2
59,"Torikka, Peter",5,Kokoomus,2
60,"Virkki, Pekka",5,Kokoomus,2
61,"Alaraappana, Anna",52,Keskeiset,11
62,"Lautamatti, Sonja",3,Keskeiset,11
63,"Lilja, Matias",12,Keskeiset,11
64,"Paavilainen, Joonas",4,Keskeiset,11
65,"Pettinen, Jussi",7,Keskeiset,11
66,"Ronkainen, Nea",33,Keskeiset,11
67,"Sipilä, Aleksi",13,Keskeiset,11
68,"Suhonen, Otto",20,Keskeiset,11
69,"Tahvanainen, Sakari",3,Keskeiset,11
70,"Huttunen, Valter",18,Murros - konservatiiviset opiskelijat,1
71,"Tuppurainen, Joosua",22,Murros - konservatiiviset opiskelijat,1
72,"Eiden, Paavo",16,Murros - konservatiiviset opiskelijat,1
73,"Mäntynen, Joona",9,Murros - konservatiiviset opiskelijat,1
74,"Ihalainen, Hannes",30,Murros - konservatiiviset opiskelijat,1
75,"Lahtinen, Teemu",13,Murros - konservatiiviset opiskelijat,1
76,"Solehmainen, Jukka",10,Murros - konservatiiviset opiskelijat,1
77,"Narikka, Melker",17,Murros - konservatiiviset opiskelijat,1
78,"Heikkonen, Christian",5,Murros - konservatiiviset opiskelijat,1
79,"Nummelin, Elias",8,Murros - konservatiiviset opiskelijat,1
80,"Saaranen, Niina",48,Murros - konservatiiviset opiskelijat,1
81,"Aro, Dora",4,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
82,"Haukkamäki, Vilja",5,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
83,"Hietanen, Lauri",23,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
84,"Kerola, Liisa",1,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
85,"Kuusipalo, Saana",6,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
86,"Leppänen, Meri",14,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
87,"Nieminen, Alise",6,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
88,"Nurmi, Petteri",5,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
89,"Ollikainen, Veera",7,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
90,"Palm, Aino",9,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
91,"Qiu, Toivo",11,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
92,"Rantala, Ilona",19,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
93,"Sorri, Ilona",7,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
94,"Vaateri, Irja",48,Opiskelijoiden Sosialidemokraattinen Yhdistys,5
95,"Aahava Blixthammar, Ludvig",4,HYAL Keskustakampus,6
96,"Carter, Caro",62,HYAL Keskustakampus,6
97,"Granström, Sampsa",4,HYAL Keskustakampus,6
98,"Haliseva, Vilhelmiina",6,HYAL Keskustakampus,6
99,"Jyrämä, Anna",11,HYAL Keskustakampus,6
100,"Kalliokoski, Timo",12,HYAL Keskustakampus,6
101,"Korjus, Sara",12,HYAL Keskustakampus,6
102,"Leiman, Katja",3,HYAL Keskustakampus,6
103,"Lindström, Pyry",4,HYAL Keskustakampus,6
104,"Mielonen, Eevi",25,HYAL Keskustakampus,6
105,"Mikkelä, Nea",26,HYAL Keskustakampus,6
106,"Mäki, Tommi",18,HYAL Keskustakampus,6
107,"Mäkinen, Arttu",6,HYAL Keskustakampus,6
108,"Nyyssönen, Sophie",54,HYAL Keskustakampus,6
109,"Pulli, Petra",30,HYAL Keskustakampus,6
110,"Quednau, Vanessa",76,HYAL Keskustakampus,6
111,"Rissanen, Joona",12,HYAL Keskustakampus,6
112,"Rättyä, Jonna",9,HYAL Keskustakampus,6
113,"Saarelma, Marika",9,HYAL Keskustakampus,6
114,"Suuronen, Henna",39,HYAL Keskustakampus,6
