ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
2,"Aarto, Lotta",39,Kokoomus,1
3,"Baarman, Nea-Bettina",22,Kokoomus,1
4,"Botty van den Bruele, Adelaide",5,Kokoomus,1
5,"Bäckström, Teresa",6,Kokoomus,1
6,"Euro, Alvar",10,Kokoomus,1
7,"Haavisto, Elias",3,Kokoomus,1
8,"Heinonen, Oskari",20,Kokoomus,1
9,"Hitruhin, Mikael",4,Kokoomus,1
10,"Jalli, Maria",12,Kokoomus,1
11,"Joensuu, Joakim",16,Kokoomus,1
12,"Junnila, Emilia",13,Kokoomus,1
13,"Kanervo, Mikko",31,Kokoomus,1
14,"Kareen, Samuel",4,Kokoomus,1
15,"Karhunen, Mikko",38,Kokoomus,1
16,"Karjalainen, Topias",1,Kokoomus,1
17,"Kekonen, Aleksanteri",5,Kokoomus,1
18,"Keski-Luoma, Miika",22,Kokoomus,1
19,"Kivisaari, Ella",1,Kokoomus,1
20,"Korpinen, Topi",10,Kokoomus,1
21,"Kuivala, Onni",7,Kokoomus,1
22,"Kujala, Vilma",25,Kokoomus,1
23,"Kuva, Salla",27,Kokoomus,1
24,"Kähkönen, Paavo",6,Kokoomus,1
25,"Laasonen, Hanna-Liisa",3,Kokoomus,1
26,"Laavi, Elina",1,Kokoomus,1
27,"Laitila, Juho",3,Kokoomus,1
28,"Lehtimäki, Anniina",4,Kokoomus,1
29,"Lehtonen, Akseli",18,Kokoomus,1
30,"Leinonen, Sofia",4,Kokoomus,1
31,"Lempinen, Kiia",3,Kokoomus,1
32,"Leppämäki, Samuli",9,Kokoomus,1
33,"Linnakangas, Jaakko",1,Kokoomus,1
34,"Mäenpää, Emma",11,Kokoomus,1
35,"Niva-Vesala, Iida",9,Kokoomus,1
36,"Nordman, Sina",2,Kokoomus,1
37,"Nupponen, Konsta",4,Kokoomus,1
38,"Nurmela, Jeremias",6,Kokoomus,1
39,"Nyman, Onni",76,Kokoomus,1
40,"Pajula, Matias",17,Kokoomus,1
41,"Pakarinen, Toni",7,Kokoomus,1
42,"Pesonen, Petri",29,Kokoomus,1
43,"Pulliainen, Joonas",3,Kokoomus,1
44,"Rautionaho, Jenna",5,Kokoomus,1
45,"Rintanen, Arttu",9,Kokoomus,1
46,"Riutta, Elina",6,Kokoomus,1
47,"Ropponen, Jutta",8,Kokoomus,1
48,"Salonen, Jussi",25,Kokoomus,1
49,"Schavikin, Johannes",5,Kokoomus,1
50,"Skottman, Jerdi",4,Kokoomus,1
51,"Tarvainen, Nea",4,Kokoomus,1
52,"Toivonen, Jenni",6,Kokoomus,1
53,"Tuomela, Leo",5,Kokoomus,1
54,"Tupamäki, Binga",40,Kokoomus,1
55,"Vehkavaara, Aino",4,Kokoomus,1
56,"Vesinurm, Märt",16,Kokoomus,1
57,"Virkki, Pekka",7,Kokoomus,1
58,"Virpo, Tinna",7,Kokoomus,1
59,"Vuornos, Henrik",8,Kokoomus,1
60,"Vähäuski, Heidi",6,Kokoomus,1
61,"Alaraappana, Anna",52,Keskeiset,8
62,"Flyktman, Aleksi",21,Keskeiset,8
63,"Kaasinen, Fanny",11,Keskeiset,8
64,"Kajan, Venla",9,Keskeiset,8
65,"Lilja, Matias",9,Keskeiset,8
66,"Paavilainen, Joonas",7,Keskeiset,8
67,"Sipilä, Aleksi",42,Keskeiset,8
68,"Suhonen, Otto",11,Keskeiset,8
69,"Brummer, Saga",12,Svenska Nationer och Ämnesföreningar,2
