ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
2,"Cederlöf, Dan",7,Svenska Nationer och Ämnesföreningar,1
3,"Ek, Sonja",10,Svenska Nationer och Ämnesföreningar,1
4,"Eklund, Emil",8,Svenska Nationer och Ämnesföreningar,1
5,"Joensuu, Linda",5,Svenska Nationer och Ämnesföreningar,1
6,"Lindeberg, Elsa",49,Svenska Nationer och Ämnesföreningar,1
7,"Welvestam, Emil",1,Svenska Nationer och Ämnesföreningar,1
8,"Lepola, Ella",31,Svenska Nationer och Ämnesföreningar,1
9,"Köhler, Anton",1,Svenska Nationer och Ämnesföreningar,1
10,"Lindblom, Mathilda",39,Svenska Nationer och Ämnesföreningar,1
11,"Lassfolk, Sofie",13,Svenska Nationer och Ämnesföreningar,1
12,"Östman, Viktor",15,Svenska Nationer och Ämnesföreningar,1
13,"Kainulainen, Tuukka",15,Svenska Nationer och Ämnesföreningar,1
14,"Albäck, Nicolas",11,Svenska Nationer och Ämnesföreningar,1
15,"Björklund, Daniel",10,Svenska Nationer och Ämnesföreningar,1
16,"Ekman, Edvin",41,Svenska Nationer och Ämnesföreningar,1
17,"Haliseva, Daniel",9,Svenska Nationer och Ämnesföreningar,1
18,"Hellgren, Vera",4,Svenska Nationer och Ämnesföreningar,1
19,"Helsingius, Anton",3,Svenska Nationer och Ämnesföreningar,1
20,"Huhtamäki, Bianca",5,Svenska Nationer och Ämnesföreningar,1
21,"Hyvärinen, Milena",3,Svenska Nationer och Ämnesföreningar,1
22,"Jokinen, Ben",8,Svenska Nationer och Ämnesföreningar,1
23,"Juselius, Kristian",1,Svenska Nationer och Ämnesföreningar,1
24,"Kajander, Maj",2,Svenska Nationer och Ämnesföreningar,1
25,"Kalman, Viggo",8,Svenska Nationer och Ämnesföreningar,1
26,"Kroath, Celina",5,Svenska Nationer och Ämnesföreningar,1
27,"Lerche, Stella",7,Svenska Nationer och Ämnesföreningar,1
28,"Ojala, Emma",27,Svenska Nationer och Ämnesföreningar,1
29,"Sandell, Emelie",3,Svenska Nationer och Ämnesföreningar,1
30,"Slöör, Ida",20,Svenska Nationer och Ämnesföreningar,1
31,"Stenberg, Fanny",1,Svenska Nationer och Ämnesföreningar,1
32,"Tasanko, Miro",2,Svenska Nationer och Ämnesföreningar,1
33,"Tasanko, Viivi",12,Svenska Nationer och Ämnesföreningar,1
34,"Thijssen, Lina",6,Svenska Nationer och Ämnesföreningar,1
35,"Vesterkvist, Clara",3,Svenska Nationer och Ämnesföreningar,1
36,"Granö, Maria",19,Svenska Nationer och Ämnesföreningar,1
37,"Sandfors, Rebecca",28,Svenska Nationer och Ämnesföreningar,1
38,"Slama, Joanna",8,Svenska Nationer och Ämnesföreningar,1
39,"Jensén, Joar",11,Svenska Nationer och Ämnesföreningar,1
40,"Lundström, Minea",71,Svenska Nationer och Ämnesföreningar,1
41,"Wilhelmsson, Elias",7,Svenska Nationer och Ämnesföreningar,1
42,"Wickholm, Robin",2,Svenska Nationer och Ämnesföreningar,1
43,"Bruncrona, Ben",14,Svenska Nationer och Ämnesföreningar,1
44,"Hlushchuk, Katherine",6,Svenska Nationer och Ämnesföreningar,1
45,"Karv, Alexander",56,Svenska Nationer och Ämnesföreningar,1
46,"Paakkonen, Sofia",39,Svenska Nationer och Ämnesföreningar,1
47,"Peltonen, Benjamin",26,Svenska Nationer och Ämnesföreningar,1
48,"Stenman, Otto",28,Svenska Nationer och Ämnesföreningar,1
49,"Ellmén, Anni",4,Osakunnat 1,7
50,"Heikkinen, Eliel",5,Osakunnat 1,7
51,"Hietaharju, Atte",2,Osakunnat 1,7
52,"Huhanantti, Anna",7,Osakunnat 1,7
53,"Jokimies, Neo",2,Osakunnat 1,7
55,"Kivelä, Lauri",55,Osakunnat 1,7
56,"Korkeamäki, Astrid",3,Osakunnat 1,7
57,"Kortelainen, Essi",2,Osakunnat 1,7
58,"Leinikki, Aleksi 'Leinari'",2,Osakunnat 1,7
59,"Leppänen, Lauri",3,Osakunnat 1,7
60,"Lindh, Aleksanteri",5,Osakunnat 1,7
61,"Ojanperä, Erika",1,Osakunnat 1,7
62,"Paloheimo, Onni",16,Osakunnat 1,7
63,"Pöri, Rasmus",7,Osakunnat 1,7
64,"Randén, Jasmin",1,Osakunnat 1,7
65,"Vita, Doris",12,Osakunnat 1,7
66,"Ikonen, Heta",9,Osakunnat 1,7
67,"Juuti, Samu",7,Osakunnat 1,7
68,"Karvonen, Rano",2,Osakunnat 1,7
69,"Kilpeläinen, Aino",28,Osakunnat 1,7
70,"Nieminen, Sanni",17,Osakunnat 1,7
71,"Suominen, Sanni",18,Osakunnat 1,7
72,"Tuominen, Niko",5,Osakunnat 1,7
73,"Suosalo, Selma",8,Osakunnat 1,7
74,"Kaskinen, Olli-Aaron",5,Osakunnat 1,7
75,"Kuivalainen, Ulla",7,Osakunnat 1,7
76,"Pellinen, Matti",26,Osakunnat 1,7
77,"Ranta, Matilda",22,Osakunnat 1,7
78,"Roiha, Ulriikka",16,Osakunnat 1,7
79,"Kivinen, Niko",39,Osakunnat 2,13
80,"Koistinen, Lassi",21,Osakunnat 2,13
81,"Lampiselkä, Laura",2,Osakunnat 2,13
82,"Enholm, Reetta",2,Osakunnat 2,13
83,"Hakala, Eero",4,Osakunnat 2,13
84,"Heino, Henna",17,Osakunnat 2,13
85,"Mäkipää, Mikko",1,Osakunnat 2,13
86,"Stenius, Vilma",16,Osakunnat 2,13
87,"Terho, Iikka",5,Osakunnat 2,13
88,"Nevanlinna, Paavo",3,Osakunnat 2,13
89,"Rantakangas, Eetu",11,Osakunnat 2,13
90,"Forest, Viola",2,Osakunnat 2,13
91,"Iivari, Niklas",1,Osakunnat 2,13
92,"Jokinen, Toivo",19,Osakunnat 2,13
93,"Järvinen, Milja",2,Osakunnat 2,13
94,"Myllylahti, Kristian",15,Osakunnat 2,13
95,"Niva-Vesala, Iida",23,Osakunnat 2,13
96,"Olkkonen, Topias",12,Osakunnat 2,13
97,"Vikeväinen, Lauri",8,Osakunnat 2,13
98,"Aarnio, Kaisla",130,Sitoutumaton vasemmisto,4
99,"Ahokas, Atte",60,Sitoutumaton vasemmisto,4
100,"Alapappila, Ada",40,Sitoutumaton vasemmisto,4
101,"Bister, Sakari",178,Sitoutumaton vasemmisto,4
102,"Broms, Viivi",84,Sitoutumaton vasemmisto,4
103,"Bäcker, T.",21,Sitoutumaton vasemmisto,4
104,"Carter, Caro",37,Sitoutumaton vasemmisto,4
105,"Coughlan, Finn",41,Sitoutumaton vasemmisto,4
106,"Eerola, Nikola",29,Sitoutumaton vasemmisto,4
107,"Gurov, Vitaliy",33,Sitoutumaton vasemmisto,4
108,"Haimi, Toivo",23,Sitoutumaton vasemmisto,4
109,"Harakka, Valtteri",6,Sitoutumaton vasemmisto,4
110,"Heimo, Raune",75,Sitoutumaton vasemmisto,4
111,"Herva, Halla",17,Sitoutumaton vasemmisto,4
112,"Ikonen, Hanna",90,Sitoutumaton vasemmisto,4
113,"Jalkanen, Matias",40,Sitoutumaton vasemmisto,4
114,"Jalonen, Olli",129,Sitoutumaton vasemmisto,4
115,"Jokihaara, Ronja",61,Sitoutumaton vasemmisto,4
116,"Kaavinen, Senni",53,Sitoutumaton vasemmisto,4
117,"Kiiskinen, Pietu",22,Sitoutumaton vasemmisto,4
118,"Kilpinen, Tiia-Roosa 'Tintti'",46,Sitoutumaton vasemmisto,4
119,"Korhonen, Erika",71,Sitoutumaton vasemmisto,4
120,"Laesvuori, Saku",12,Sitoutumaton vasemmisto,4
121,"Laitinen, Minna",44,Sitoutumaton vasemmisto,4
122,"Laivo, Sasu",36,Sitoutumaton vasemmisto,4
123,"Lehtinen, Venla",42,Sitoutumaton vasemmisto,4
124,"Leinonmäki, Ainotar",52,Sitoutumaton vasemmisto,4
125,"Lundell, Ina",35,Sitoutumaton vasemmisto,4
126,"Mikkonen, Emmi",25,Sitoutumaton vasemmisto,4
127,"Mononen, Heikki",10,Sitoutumaton vasemmisto,4
128,"Mäki, Iiris",62,Sitoutumaton vasemmisto,4
129,"Mäki, Malva 'Kuisma'",49,Sitoutumaton vasemmisto,4
130,"Niemelä, Janne",22,Sitoutumaton vasemmisto,4
131,"Oksanen, Alex",45,Sitoutumaton vasemmisto,4
132,"Oksanen, Nikolai",9,Sitoutumaton vasemmisto,4
133,"Paaer, Vilma",25,Sitoutumaton vasemmisto,4
134,"Paasimäki, Clara",7,Sitoutumaton vasemmisto,4
135,"Parkkonen, Pekka",4,Sitoutumaton vasemmisto,4
136,"Pentikäinen, Viena",42,Sitoutumaton vasemmisto,4
137,"Pikander, Petja",24,Sitoutumaton vasemmisto,4
138,"Posti, Jarno",54,Sitoutumaton vasemmisto,4
139,"Pura, Artturi",30,Sitoutumaton vasemmisto,4
140,"Pursula, Aino",27,Sitoutumaton vasemmisto,4
141,"Päätalo, Oskari",39,Sitoutumaton vasemmisto,4
142,"Roisin, Tomas",42,Sitoutumaton vasemmisto,4
143,"Salo, Ilmari",8,Sitoutumaton vasemmisto,4
144,"Salovirta, Riia",34,Sitoutumaton vasemmisto,4
145,"Savolainen, Lassi",6,Sitoutumaton vasemmisto,4
146,"Schöfer, Annika",26,Sitoutumaton vasemmisto,4
147,"Seppälä, Kerttu",1,Sitoutumaton vasemmisto,4
148,"Sikström, Ville",34,Sitoutumaton vasemmisto,4
149,"Sorsa, Tarmo",53,Sitoutumaton vasemmisto,4
150,"Suihkonen, Tuomas",2,Sitoutumaton vasemmisto,4
151,"Swahne, Vilma",27,Sitoutumaton vasemmisto,4
152,"Tallqvist, Elia",27,Sitoutumaton vasemmisto,4
153,"Tikkanen, Jenny",10,Sitoutumaton vasemmisto,4
154,"Tulkki, Miika",17,Sitoutumaton vasemmisto,4
155,"Viitala, Seela",26,Sitoutumaton vasemmisto,4
156,"Weselius, Armas",70,Sitoutumaton vasemmisto,4
